,tm,rnum,stnId,stnNm,ta,taQcflg,rn,rnQcflg,ws,wsQcflg,wd,wdQcflg,hm,hmQcflg,pv,td,pa,paQcflg,ps,psQcflg,ss,ssQcflg,icsr,dsnw,hr3Fhsc,dc10Tca,dc10LmcsCa,clfmAbbrCd,lcsCh,vs,gndSttCd,dmstMtphNo,ts,tsQcflg,m005Te,m01Te,m02Te,m03Te
0,2023-01-01 01:00,1,108,서울,1.5,,,,1.9,,250,,71,,4.9,-3.1,1018.0,,1028.9,,,9,,,,6,6,,12,1104,,,-1.4,,-0.3,-0.5,-0.5,0.6
1,2023-01-01 02:00,2,108,서울,1.5,,,,1.9,,250,,72,,4.9,-3.0,1017.8,,1028.7,,,9,,,,9,8,,11,925,,40,-1.6,,-0.3,-0.5,-0.5,0.6
2,2023-01-01 03:00,3,108,서울,1.6,,,,1.6,,250,,74,,5.1,-2.5,1018.1,,1029.0,,,9,,,,8,8,Sc,16,794,,40,-1.8,,-0.3,-0.5,-0.5,0.6
3,2023-01-01 04:00,4,108,서울,1.5,,,,1.4,,290,,74,,5.0,-2.6,1018.1,,1029.0,,,9,,,,9,9,Sc,10,709,,40,-1.3,,-0.2,-0.5,-0.5,0.6
4,2023-01-01 05:00,5,108,서울,0.8,,,,2.4,,290,,62,,4.0,-5.6,1018.1,,1029.0,,,9,,,,7,7,Sc,11,1185,,40,-2.1,,-0.2,-0.5,-0.5,0.6
5,2023-01-01 06:00,6,108,서울,-0.2,,,,3.1,,320,,67,,4.1,-5.5,1018.4,,1029.3,,,9,,,,1,1,Sc,14,962,,40,-3.3,,-0.2,-0.5,-0.5,0.6
6,2023-01-01 07:00,7,108,서울,-1.5,,,,2.5,,270,,71,,3.9,-6.0,1019.2,,1030.2,,,9,,,,0,0,,,891,,40,-4.1,,-0.3,-0.5,-0.5,0.6
7,2023-01-01 08:00,8,108,서울,-1.8,,,,2.7,,270,,75,,4.0,-5.6,1020.0,,1031.0,,0.0,,0.0,,,0,0,,,819,,40,-4.4,,-0.4,-0.6,-0.5,0.6
8,2023-01-01 09:00,9,108,서울,-1.7,,,,2.1,,290,,75,,4.1,-5.5,1020.6,,1031.6,,0.9,,0.28,,,0,0,,,763,,40,-3.6,,-0.5,-0.6,-0.5,0.6
9,2023-01-01 10:00,10,108,서울,-0.4,,,,2.4,,270,,66,,3.9,-5.9,1020.8,,1031.8,,1.0,,0.83,,,0,0,,,938,,40,-1.3,,-0.5,-0.7,-0.5,0.6
10,2023-01-01 11:00,11,108,서울,0.4,,,,3.6,,290,,58,,3.6,-6.9,1020.8,,1031.7,,1.0,,1.38,,,0,0,,,1025,,40,0.5,,-0.4,-0.7,-0.5,0.6
11,2023-01-01 12:00,12,108,서울,2.0,,,,1.7,,290,,54,,3.8,-6.3,1020.3,,1031.2,,1.0,,1.73,,,0,0,,,1051,,,3.1,,-0.3,-0.6,-0.5,0.6
12,2023-01-01 13:00,13,108,서울,3.0,,,,2.5,,270,,45,,3.4,-7.8,1019.7,,1030.5,,1.0,,1.87,,,0,0,,,1331,,,5.1,,-0.3,-0.6,-0.5,0.6
13,2023-01-01 14:00,14,108,서울,3.8,,,,2.9,,250,,38,,3.0,-9.2,1019.4,,1030.2,,1.0,,1.77,,,1,0,Ci,,1844,,,5.5,,-0.2,-0.5,-0.5,0.6
14,2023-01-01 15:00,15,108,서울,3.1,,,,3.1,,270,,37,,2.8,-10.2,1019.0,,1029.8,,1.0,,1.51,,,1,0,Ci,,2000,,,2.2,,-0.1,-0.5,-0.5,0.6
15,2023-01-01 16:00,16,108,서울,2.6,,,,4.4,,290,,33,,2.4,-12.0,1019.3,,1030.1,,1.0,,0.97,,,1,0,Ci,,2000,,,-0.2,,-0.1,-0.5,-0.5,0.6
16,2023-01-01 17:00,17,108,서울,1.7,,,,3.1,,270,,29,,2.0,-14.4,1019.2,,1030.1,,1.0,,0.44,,,0,0,,,2000,,,-0.3,,-0.1,-0.4,-0.5,0.6
17,2023-01-01 18:00,18,108,서울,0.1,,,,2.9,,270,,35,,2.2,-13.5,1019.0,,1029.9,,0.1,,0.03,,,0,0,,,2000,,,-0.6,,-0.1,-0.4,-0.5,0.6
18,2023-01-01 19:00,19,108,서울,-0.8,,,,2.9,,270,,40,,2.3,-12.7,1019.8,,1030.8,,,9,,,,1,1,,,2000,,,-0.9,,-0.1,-0.4,-0.5,0.6
19,2023-01-01 20:00,20,108,서울,-1.7,,,,3.5,,270,,44,,2.4,-12.3,1020.3,,1031.3,,,9,,,,4,1,,76,2000,,,-1.5,,-0.1,-0.4,-0.5,0.6
20,2023-01-01 21:00,21,108,서울,-2.2,,,,3.2,,270,,45,,2.3,-12.5,1021.2,,1032.2,,,9,,,,0,0,,,2000,,,-2.4,,-0.1,-0.4,-0.5,0.6
21,2023-01-01 22:00,22,108,서울,-2.7,,,,3.8,,320,,45,,2.3,-13.0,1021.6,,1032.7,,,9,,,,7,5,,60,2000,,,-3.2,,-0.2,-0.4,-0.5,0.6
22,2023-01-01 23:00,23,108,서울,-3.4,,,,2.6,,290,,46,,2.2,-13.3,1022.1,,1033.2,,,9,,,,1,1,,61,2000,,,-4.1,,-0.2,-0.5,-0.5,0.6
23,2023-01-02 00:00,24,108,서울,-4.3,,,,2.2,,290,,49,,2.2,-13.4,1022.0,,1033.1,,,9,,,,0,0,,,2000,,,-4.8,,-0.4,-0.5,-0.5,0.6
