제목,지역,분류,조회수,평점,북마크,url,주소
동구밖오리구이,천호/강동/둔촌,오리고기,869018,3.7,18,https://www.siksinhot.com/P/342684, 서울특별시 강동구 진황도로 227 하선빌딩
양철북(강동구청점),천호/강동/둔촌,곱창/대창,154918,3.3,8,https://www.siksinhot.com/P/252209,양철북(강동구청점) 
강동호치민,천호/강동/둔촌,인도네시아,46365,2.8,5,https://www.siksinhot.com/P/480260, 서울특별시 강동구 천호대로 1089 복합시설동 
강동KD부대찌개,천호/강동/둔촌,부대찌개,52013,2.8,3,https://www.siksinhot.com/P/373435, 서울특별시 강동구 올림픽로62길 7
떡갈비연구소 강동점,천호/강동/둔촌,한정식,1475,평가중,,https://www.siksinhot.com/P/1303788, 서울특별시 강동구 양재대로111길 54
이차돌 강동구청점,천호/강동/둔촌,소구이/불고기,2344,평가중,,https://www.siksinhot.com/P/1077305, 서울특별시 강동구 성내로6길 14 
돈사돈 강동직영점,천호/강동/둔촌,돼지구이,866,평가중,,https://www.siksinhot.com/P/1066886, 서울특별시 강동구 올림픽로 675 1층 돈사돈
미테이블 강동2호점,천호/강동/둔촌,스테이크,1887,평가중,,https://www.siksinhot.com/P/998973, 서울특별시 강동구 양재대로111길 15 탑스위트 
동구밖코다리찜,천호/강동/둔촌,한식기타,2835,평가중,,https://www.siksinhot.com/P/998976, 서울특별시 강동구 풍성로 309 
강동식육식당,북구/강동/정자해수욕장,육회/육사시미,3196,평가중,,https://www.siksinhot.com/P/850887, 울산광역시 북구 산하중앙2로 244
강동짬뽕,천호/강동/둔촌,중식,1979,평가중,,https://www.siksinhot.com/P/803769, 서울특별시 강동구 천중로40길 78 
강동초장집,북구/강동/정자해수욕장,회/횟집/참치,1877,평가중,,https://www.siksinhot.com/P/644058, 울산광역시 북구 정자1길 51-1 
강릉할머니손칼국수,북구/강동/정자해수욕장,비빔밥/돌솥밥/쌈밥,40581,평가중,1,https://www.siksinhot.com/P/700113, 울산광역시 북구 약수2길 6-3 
강동대방수산,북구/강동/정자해수욕장,씨푸드,1615,평가중,,https://www.siksinhot.com/P/750406, 울산광역시 북구 동해안로 1429
강동참치,천호/강동/둔촌,일식,2468,평가중,,https://www.siksinhot.com/P/486687, 서울 강동구 양재대로 1442
강동해물찜해천탕,천호/강동/둔촌,해물탕/해물요리,35360,평가중,0,https://www.siksinhot.com/P/440441, 서울특별시 강동구 양재대로 1416
동구밖장작구이,천호/강동/둔촌,오리고기,28080,평가중,0,https://www.siksinhot.com/P/404478, 서울특별시 강동구 풍성로 309
강서복집,강서/화곡/발산/등촌,복어요리,2114736,4.4,36,https://www.siksinhot.com/P/254464, 서울특별시 강서구 공항대로59길 8
한신포차 강서구청점,강서/화곡/발산/등촌,포장마차,916511,4.0,11,https://www.siksinhot.com/P/315163,한신포차 강서구청점 
닥터로빈 강서점,강서/화곡/발산/등촌,카페/커피숍,1223819,3.3,19,https://www.siksinhot.com/P/254250, 서울 강서구 공항대로 396
샤브미 강서점,강서/화곡/발산/등촌,샤브샤브,1150110,3.2,10,https://www.siksinhot.com/P/254499, 서울특별시 강서구 화곡로 398
강따라물따라 ,강서구/김해공항/가덕도,오리고기,88036,3.0,6,https://www.siksinhot.com/P/274046, 부산광역시 강서구 상덕로49번길 179-28 
반궁 NC백화점강서점,강서/화곡/발산/등촌,한정식,93164,2.8,4,https://www.siksinhot.com/P/479556, 서울 강서구 강서로56길 17
치킨이즈백 강서구청점,강서/화곡/발산/등촌,치킨/통닭,895,평가중,,https://www.siksinhot.com/P/1259259, 서울특별시 강서구 까치산로 172
수협강서수산물도매시장,강서/화곡/발산/등촌,회/횟집/참치,8257,평가중,,https://www.siksinhot.com/P/1120331, 서울특별시 강서구 발산로 24 수협공판장 
접시고기 강서점,강서/화곡/발산/등촌,돼지구이,1792,평가중,,https://www.siksinhot.com/P/997915, 서울특별시 강서구 공항대로46길 25-8 
징기스 강서구청점,강서/화곡/발산/등촌,돼지구이,2517,평가중,,https://www.siksinhot.com/P/974856, 서울특별시 강서구 화곡로58길 22-14
코끼리한상 강서직영점,강서/화곡/발산/등촌,한정식,1711,평가중,,https://www.siksinhot.com/P/979441, 서울특별시 강서구 화곡로64길 50
강름엄지네꼬막집,강서/화곡/발산/등촌,씨푸드,49912,평가중,2,https://www.siksinhot.com/P/977643, 서울특별시 강서구 공항대로 291
강서손칼국수,강서/화곡/발산/등촌,칼국수/국수,21731,평가중,1,https://www.siksinhot.com/P/809425, 서울 강서구 양천로 661
돌배기집 강서구청점,강서/화곡/발산/등촌,소구이/불고기,50782,평가중,2,https://www.siksinhot.com/P/829222, 서울 강서구 공항대로46길 47
현대옥 서울강서점,강서/화곡/발산/등촌,해장국/국밥/육개장,2153,평가중,,https://www.siksinhot.com/P/433724, 서울특별시 강서구 화곡로 346
강민철레스토랑,청담동,프렌치,7704,평가중,,https://www.siksinhot.com/P/1317114, 서울특별시 강남구 도산대로68길 18 
능라도 강남점,삼성동,냉면/막국수,1998130,4.3,30,https://www.siksinhot.com/P/371744, 서울특별시 강남구 삼성로 534
강남교자 본점,강남역,칼국수/국수,81210270,4.1,270,https://www.siksinhot.com/P/56310, 서울특별시 서초구 강남대로69길 11
강촌숯불닭갈비 본점,구로/대림/가산/금천구,닭볶음탕/닭갈비/닭발,1571725,3.9,25,https://www.siksinhot.com/P/368159, 서울특별시 구로구 공원로6나길 35-2
대우부대찌개 강남본점,역삼역,부대찌개,2378190,3.9,90,https://www.siksinhot.com/P/320015, 서울특별시 강남구 테헤란로25길 34
안다즈서울강남 조각보,압구정,유러피안,46912,평가중,2,https://www.siksinhot.com/P/1214385, 서울특별시 강남구 논현로 854
도치피자 강남점,강남역,이탈리안,68087221,4.4,221,https://www.siksinhot.com/P/343390, 서울특별시 강남구 강남대로98길 27
강서복집,강서/화곡/발산/등촌,복어요리,2114736,4.4,36,https://www.siksinhot.com/P/254464, 서울특별시 강서구 공항대로59길 8
부산아구,신사역,꽃게/랍스터/새우,41562109,4.0,109,https://www.siksinhot.com/P/352874, 서울특별시 강남구 강남대로150길 10
강남원주추어탕,신논현/영동시장,해물탕/해물요리,1990346,4.0,46,https://www.siksinhot.com/P/3209, 서울특별시 강남구 강남대로110길 6
미즈컨테이너 강남 웨스트,강남역,이탈리안,146486460,4.2,460,https://www.siksinhot.com/P/25472, 서울특별시 서초구 서초대로73길 9
봉피양제주 강남점,강남역,냉면/막국수,96574263,4.2,263,https://www.siksinhot.com/P/8828, 서울특별시 서초구 강남대로 359 대우도씨에빛2 
강남보물섬,역삼역,회/횟집/참치,89757,4.1,7,https://www.siksinhot.com/P/481142, 서울특별시 강남구 테헤란로20길 11-1
강릉수산,노량진,회/횟집/참치,24563107,4.1,107,https://www.siksinhot.com/P/338063, 서울특별시 동작구 노들로 674
쉐이크쉑 강남점,신논현/영동시장,버거,65926205,4.0,205,https://www.siksinhot.com/P/370470, 서울특별시 강남구 강남대로 452
강공순할매집전복신랑해물각시 본점,여의도,낙지/문어/주꾸미,1667356,4.0,56,https://www.siksinhot.com/P/347669, 서울특별시 영등포구 여의나루로 67
도스타코스 강남역점,신논현/영동시장,남미/브라질,24040135,4.0,135,https://www.siksinhot.com/P/321423, 서울특별시 서초구 강남대로 455
고에몬 강남점,강남역,일식,3877943,4.0,43,https://www.siksinhot.com/P/317367, 서울특별시 서초구 서초대로77길 7
을밀대 강남점,강남역,냉면/막국수,57549181,4.0,181,https://www.siksinhot.com/P/131945, 서울특별시 강남구 테헤란로4길 46
딘타이펑 강남역점,강남역,중식,69291190,4.0,190,https://www.siksinhot.com/P/90079, 서울특별시 서초구 서초대로73길 12
강정이넘치는집,청담동,베이커리/제과점,88734,3.8,4,https://www.siksinhot.com/P/481570, 서울특별시 강남구 학동로 435
강남면옥 본점,압구정,소구이/불고기,1677819,3.7,19,https://www.siksinhot.com/P/88379, 서울특별시 강남구 논현로152길 34
강남진해장,강남역,전골,87808,3.6,8,https://www.siksinhot.com/P/855338, 서울특별시 강남구 테헤란로5길 11 
램브란트 강남N점,역삼역,곱창/대창,1822,평가중,,https://www.siksinhot.com/P/1316319, 서울특별시 강남구 테헤란로 129
고메램 강남점,강남역,중식,35431,평가중,1,https://www.siksinhot.com/P/1252269, 서울특별시 서초구 강남대로 359 
강릉스낵,목동,포장마차,51974,평가중,4,https://www.siksinhot.com/P/1192707, 서울특별시 양천구 목동동로 228-2
보슬보슬 강남본점,강남역,김밥,81035,평가중,5,https://www.siksinhot.com/P/1003803, 서울특별시 강남구 논현로85길 59 남곡빌딩 1층
강남고기집 신칠성집,논현/학동,소구이/불고기,44044,5.0,4,https://www.siksinhot.com/P/794461, 서울특별시 강남구 논현로150길 16 
강남꿀돼지,삼성동,돼지구이,74816,4.6,6,https://www.siksinhot.com/P/365541, 서울특별시 강남구 봉은사로108길 3-14
하남돼지집 강남역점,강남역,돼지구이,1800940,4.5,40,https://www.siksinhot.com/P/354517, 서울 서초구 서초대로73길 38
크래버대게나라 강남점,논현/학동,꽃게/랍스터/새우,1566713,4.5,13,https://www.siksinhot.com/P/341807, 서울 강남구 언주로 620
에머이 강남점,강남역,인도네시아,567613,4.4,13,https://www.siksinhot.com/P/375265, 서울 강남구 테헤란로2길 27
블랙스톤(강남점),신논현/영동시장,스테이크,912114,4.4,14,https://www.siksinhot.com/P/363282, 서울특별시 강남구 강남대로106길 23
마초쉐프 강남역점,신논현/영동시장,이탈리안,76154152,4.4,152,https://www.siksinhot.com/P/357780, 서울특별시 강남구 강남대로106길 29 유니켐 
봉추찜닭 강남주공공이점,강남역,삼계탕/백숙/찜닭,44182,4.3,2,https://www.siksinhot.com/P/360815, 서울특별시 강남구 강남대로 442
할랄가이즈 강남점,강남역,할랄/중동,127388,4.2,8,https://www.siksinhot.com/P/630627, 서울특별시 서초구 강남대로69길 8
본죽&비빔밥 강남역점,강남역,비빔밥/돌솥밥/쌈밥,95781,4.2,1,https://www.siksinhot.com/P/379424,본죽&비빔밥 강남역점 
맥쓰 강남역점,강남역,치킨/통닭,647214,4.2,14,https://www.siksinhot.com/P/319957, 서울특별시 강남구 테헤란로4길 6
카페마마스 강남역점,강남역,카페/커피숍,61919235,4.2,235,https://www.siksinhot.com/P/255991, 서울특별시 서초구 서운로 138
미즈컨테이너 강남역 2호점,강남역,이탈리안,831511,4.1,11,https://www.siksinhot.com/P/371966,미즈컨테이너 강남역 2호점 
강남삼계탕,신논현/영동시장,삼계탕/백숙/찜닭,64605,4.1,5,https://www.siksinhot.com/P/360771, 서울 강남구 강남대로110길 12
육회포차앤문어치킨 강남점,강남역,포장마차,1112117,4.1,17,https://www.siksinhot.com/P/359255, 서울 서초구 서초대로77길 48
아우어커피 강남점,신논현/영동시장,티하우스,6722,4.0,,https://www.siksinhot.com/P/466920, 서울특별시 강남구 봉은사로4길 20
토끼정 강남점,강남역,일본가정식,50514175,4.0,175,https://www.siksinhot.com/P/355422, 서울특별시 강남구 봉은사로6길 32
